,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
3015,EPI-020,TAK-214,Burden of Norovirus disease among families from a semirural low-mid socioeconomic county (Colina) in a middle-high income country (Chile),0,Reported,NonCore,30,0,0,0,0,0,0,0,1,0,0,TBD,0,,2015-12-07,2015-12-07,,2016-04-11,2016-04-11,,2016-07-18,,2018-08-15,,,,,2018-08-30,,,,,15,5,5,,0,,,0,,,,758
3018,EPI-026,TAK-214,"The epidemiology of Norovirus in a pediatric population in a peri-urban area of Lima, Peru",0,Recruitment Complete,NonCore,800,0,0,0,0,0,0,0,2,1,0,IQVIA,0,,2018-02-26,2018-02-26,,2019-03-15,2019-03-15,,2019-10-31,,2020-04-08,,,,,2021-01-29,,,,,296,5,5,,0,,,0,,,,160
3031,IPV-102,TAK-195,"A Randomized, Observer-Blind, Controlled Phase 1/2 Trial to Evaluate the Safety, Tolerability and Immunogenicity of Different Doses of a Stand-alone Trivalent, Inactivated Poliomyelitis Vaccine from Sabin Strains in Healthy Infants, with a Safety and Tolerability Lead-in in Healthy Toddlers",I,Reported,NonCore,340,0,0,0,0,0,0,0,3,4,0,PRA Health Sciences,0,,2016-07-11,2016-11-23,,2017-06-07,2017-06-07,,2017-12-28,,2018-06-29,,,,,2018-12-14,,,,,168,5,5,,135,,,0,,,,183
3037,LV01-101,0,"Phase 1 Dose Escalation, Safety and Immunogenicity Study of Intranasal Norwalk VLP Vaccine with Adjuvant (MPL) and Excipients (Chitosan, Mannitol and Sucrose)",I,Completed,NonCore,28,0,0,0,0,0,0,0,1,0,0,"DP Clinical, Inc.",0,,2007-03-06,2007-03-06,,2007-04-09,2007-04-23,,2008-05-15,,2008-10-07,,,,,2009-10-12,,,,,370,5,5,,0,,,14,,,,145
3041,LV03-105,0,"Phase I - II, Randomized, Multi-Center, Double-Blind, Placebo-Controlled, Safety, Immunogenicity and Efficacy trial in Healthy Adults of Norovirus IM Bivalent VLP Vaccine in Experimental Human Norovirus GII.4 Disease",I,Completed,NonCore,132,0,0,0,0,0,0,0,5,0,0,"DP Clinical, Inc.",0,,2012-01-26,2012-01-26,,2012-02-17,2012-02-19,,2012-02-23,,2012-02-24,,,,,2012-03-02,,,,,7,5,5,,0,,,2,,,,1
3042,NOR-107,TAK-214,"Phase II, Dosage and Adjuvant Justification, Safety and Immunogenicity trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-Like Particle (VLP) Vaccine in Adults",II,Reported,NonCore,420,0,0,0,0,0,0,0,2,0,0,IQVIA,0,,2013-10-10,2013-10-10,,2014-03-28,2014-03-28,,2014-05-22,,2015-06-19,,,,,2015-08-17,,,,,59,5,5,,0,,,0,,,,393
3044,NOR-201,TAK-214,"Phase II, Randomized, Placebo-controlled, Double-blind, Safety and Immunogenicity trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-Like Particle (VLP) Vaccine in Adults",II,Reported,NonCore,450,0,0,0,0,0,0,0,10,0,0,IQVIA,0,,2013-12-13,2014-01-28,,2014-05-15,2014-05-15,,2014-07-02,,2016-01-14,,,,,2016-02-01,,,,,18,5,5,,46,,,0,,,,561
3045,NOR-202,TAK-214,"Phase II, Dose Finding, Age Step Down, Safety and Immunogenicity trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-like Particle (VLP) Vaccine in Children, Toddlers and Infants",II,Completed,NonCore,840,840,0,0,59,840,0,100.00%,12,0,0,IQVIA,0,,2013-12-03,2014-03-10,,2015-06-23,2015-06-23,,2017-07-25,,2018-06-20,,,,,2018-08-30,,,,,71,5,5,,97,,,0,,,,330
3046,NOR-204,TAK-214,"Phase II, Dosage and Adjuvant Confirmation, Age Step down, Safety and Immunogenicity trial of Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-Like Particle (VLP) Vaccine in Older Adults",II,Completed,NonCore,325,320,0,0,0,0,11,98.46%,10,0,0,PPD,0,,2014-06-26,2014-07-29,,2016-02-01,2016-02-01,,2016-09-02,,2017-09-29,,,,,2018-02-05,,,,,129,5,5,,33,,,0,,,,392
3050,NOR-210,TAK-214,"Phase II, Open label, Safety and Immunogenicity Study of Bivalent Norovirus Vaccine to generate High Titer Positive Control Serum",II,Completed,NonCore,50,50,0,0,0,0,2,100.00%,1,0,0,PPD,0,,2014-12-17,2015-01-19,,2015-02-26,2015-02-26,,2015-02-27,,2015-09-11,,,,,2015-10-29,,,,,48,5,5,,33,,,0,,,,196
3051,NOR-211,TAK-214,"Phase IIb, Double-Blind, Randomized, Placebo-Controlled Trial to Evaluate the Efficacy and Immunogenicity of the Intramuscular Norovirus GI.1/GII.4 Bivalent Virus-like Particle Vaccine in Healthy Adults Aged 18 - 49 Years",II,Completed,NonCore,"4,176","4,758",0,0,751,0,0,113.94%,1,0,0,IQVIA,0,,2015-06-24,2015-07-27,,2016-06-14,2016-06-14,,2018-04-26,,2018-06-16,,,,,2018-08-08,,,,,53,5,5,,33,,,0,,,,51
3078,ZIK-101,TAK-426,"Safety, Immunogenicity, and Dose Ranging Study of Inactivated Zika Virus Vaccine in Healthy Adults",I,Recruiting,NonCore,240,271,894,0,623,271,20,112.92%,9,8,0,PRA Health Sciences,0,,2016-12-19,2017-01-29,,2017-11-13,2017-11-27,,2018-10-26,,2018-12-28,2019-11-21,,,2020-11-24,2019-05-28,2020-03-11,,,2021-06-14,151,5,5,,41,,,14,,,,63
